key,post_no,media_id,permalink,scheduled_at,slot,published_at,media_type,title,media_error,views,likes,replies,reposts,quotes,shares
car-20260806-1800-001,CAR-001,18613357108005324,https://www.threads.com/@kuruma_honne/post/DbsXJVaiEbG,2026-08-06T18:00:00+09:00,18:00,2026-08-06T09:11:16+0000,TEXT_POST,炎天下の車、乗った瞬間から内気循環にしてない？,,316,1,0,0,0,0
car-20260807-1200-003,CAR-003,18112819963980128,https://www.threads.com/@kuruma_honne/post/DbuRig_m3qM,2026-08-07T12:00:00+09:00,12:00,2026-08-07T03:00:42+0000,TEXT_POST,代車やレンタカーで、給油口が左右どちらか迷ったことない？,,322,1,0,0,0,0
car-20260807-1800-004,CAR-004,18098772554001105,https://www.threads.com/@kuruma_honne/post/Dbu6uisls6C,2026-08-07T18:00:00+09:00,18:00,2026-08-07T09:00:40+0000,IMAGE,お盆の遠出前、最低限ここだけは確認。,,510,5,0,2,0,0
car-20260808-0700-005,CAR-005,18584463673066509,https://www.threads.com/@kuruma_honne/post/DbwT_4GmnbQ,2026-08-08T07:00:00+09:00,07:00,2026-08-07T22:00:43+0000,TEXT_POST,バッテリーは「昨日まで普通だった」から安心とは限りません。,,386,1,1,1,0,0
car-20260808-1200-006,CAR-006,17864860509645012,https://www.threads.com/@kuruma_honne/post/Dbw2U5AEfDw,2026-08-08T12:00:00+09:00,12:00,2026-08-08T03:00:38+0000,TEXT_POST,高速道路で一番苦手なのはどれ？,,1080,9,17,0,0,0
car-20260808-1800-007,CAR-007,17859919695679515,https://www.threads.com/@kuruma_honne/post/Dbxfh11FvlY,2026-08-08T18:00:00+09:00,18:00,2026-08-08T09:00:43+0000,TEXT_POST,高速に乗ってから給油すればいい。これは連休中だと危険な賭けです。,,466,2,0,1,0,0
car-20260809-0700-008,CAR-008,18100994981172187,https://www.threads.com/@kuruma_honne/post/Dby4zPTlPx7,2026-08-09T07:00:00+09:00,07:00,2026-08-08T22:00:48+0000,TEXT_POST,帰省で人と荷物が増えるなら、タイヤの空気圧も出発前に確認。,,486,3,0,0,0,0
car-20260809-1200-009,CAR-009,18375810184235232,https://www.threads.com/@kuruma_honne/post/DbzbIE8gFQ2,2026-08-09T12:00:00+09:00,12:00,2026-08-09T03:00:43+0000,TEXT_POST,真夏に早く冷やすなら内気循環は有効。でも、ずっと固定が正解とは限りません。,,222,3,0,0,0,0
car-20260809-1800-010,CAR-010,18075870947704679,https://www.threads.com/@kuruma_honne/post/Db0EUailr6m,2026-08-09T18:00:00+09:00,18:00,2026-08-09T09:00:36+0000,TEXT_POST,高速道路の渋滞最後尾でハザードを点けたあと、いつ消す？,,329,2,0,1,0,0
car-20260810-0700-011,CAR-011,18120966299500032,https://www.threads.com/@kuruma_honne/post/Db1dm4eoPJu,2026-08-10T07:00:00+09:00,07:00,2026-08-09T22:00:54+0000,TEXT_POST,炎天下の車内に残したくないもの。,,479,2,0,0,0,0
